Identifier;Name;Cancer.Type
724863;LU-65;
907796;LU-99A;
908467;NCI-H1155;
724831;NCI-H1299;
908471;NCI-H1581;
1240184;NCI-H1915;
687829;NCI-H661;
925341;NCI-H810;
910851;A427;UNABLE TO CLASSIFY
753534;BEN;UNABLE TO CLASSIFY
753540;CAL-12T;UNABLE TO CLASSIFY
687596;ChaGo-K-1;UNABLE TO CLASSIFY
1240144;HCC-366;
687804;NCI-H1770;UNABLE TO CLASSIFY
1298351;NCI-H2110;UNABLE TO CLASSIFY
1298352;NCI-H2135;UNABLE TO CLASSIFY
1298353;NCI-H2172;UNABLE TO CLASSIFY
1298356;NCI-H2444;UNABLE TO CLASSIFY
1240191;NCI-H647;
753554;EBC-1;LUSC
753556;EPLC-272H;LUSC
1240142;HARA;LUSC
1240143;HCC-15;LUSC
753569;KNS-62;LUSC
1298223;LC-1-sq;LUSC
687787;LK-2;LUSC
1298226;LOU-NH91;LUSC
1240183;NCI-H1869;LUSC
687815;NCI-H2170;LUSC
905941;NCI-H226;LUSC
908443;NCI-H520;LUSC
1298538;RERF-LC-Sq1;LUSC
909728;SK-MES-1;LUSC
724879;SW900;LUSC
1322213;COR-L321;UNABLE TO CLASSIFY
910692;COLO-668;SCLC
910937;COR-L279;SCLC
1297438;COR-L303;SCLC
687980;COR-L311;SCLC
1322212;COR-L32;SCLC
906808;COR-L88;SCLC
753547;CPC-N;SCLC
687983;DMS-114;SCLC
687985;DMS-273;SCLC
907295;DMS-53;SCLC
753564;IST-SL1;SCLC
753565;IST-SL2;SCLC
753582;LB647-SCLC;SCLC
753588;LU-134-A;SCLC
713899;LU-135;SCLC
713878;LU-139;SCLC
753589;LU-165;SCLC
753594;MS-1;SCLC
687995;NCI-H1048;SCLC
687997;NCI-H1092;SCLC
908468;NCI-H1105;SCLC
1330964;NCI-H1341;SCLC
688001;NCI-H1417;SCLC
908469;NCI-H1436;SCLC
910899;NCI-H146;SCLC
1298349;NCI-H1688;SCLC
688006;NCI-H1694;SCLC
1240182;NCI-H1836;SCLC
688007;NCI-H187;SCLC
1330972;NCI-H1876;SCLC
1240186;NCI-H196;SCLC
688010;NCI-H1963;SCLC
688011;NCI-H2029;SCLC
1330973;NCI-H2066;SCLC
688013;NCI-H209;SCLC
1240189;NCI-H211;SCLC
688014;NCI-H2141;SCLC
908481;NCI-H2196;SCLC
688018;NCI-H2227;SCLC
924241;NCI-H250;SCLC
688021;NCI-H345;SCLC
688022;NCI-H378;SCLC
688023;NCI-H446;SCLC
753605;NCI-H510A;SCLC
908483;NCI-H524;SCLC
688025;NCI-H526;SCLC
688026;NCI-H64;SCLC
688027;NCI-H69;SCLC
909194;NCI-H748;SCLC
688031;NCI-H82;SCLC
1240192;NCI-H841;SCLC
1240193;NCI-H847;SCLC
713885;SBC-1;SCLC
753610;SBC-3;SCLC
713880;SBC-5;SCLC
1290808;H2369;MESO
1290809;H2373;MESO
1290810;H2461;MESO
1240131;H2591;MESO
1240132;H2595;MESO
1290812;H2722;MESO
1240134;H2731;MESO
1290813;H2795;MESO
1240135;H2803;MESO
1240136;H2804;MESO
1240137;H2810;MESO
1290814;H2818;MESO
1240138;H2869;MESO
1240139;H290;MESO
1240141;H513;MESO
907173;IST-MES1;MESO
908150;MPP-89;MESO
908152;MSTO-211H;MESO
688058;NCI-H2052;MESO
908462;NCI-H2452;MESO
908470;NCI-H28;MESO
687561;42-MG-BA;GBM
687562;8-MG-BA;GBM
687563;A172;GBM
910933;AM-38;GBM
906746;Becker;GBM
910943;CAS-1;GBM
906823;CCF-STTG1;GBM
946367;D-247MG;GBM
946368;D-263MG;GBM
946369;D-336MG;LGG
946370;D-392MG;GBM
946373;D-502MG;LGG
753549;D-542MG;GBM
946377;D-566MG;GBM
906835;DBTRG-05MG;GBM
906839;DK-MG;GBM
906868;GAMG;LGG
687568;GB-1;GBM
906871;GI-1;LGG
906873;GMS-10;GBM
907042;H4;LGG
1240150;Hs683;LGG
907271;KALS-1;LGG
907279;KINGS-1;LGG
907282;KNS-42;LGG
924188;KNS-81-FD;LGG
907313;KS-1;GBM
1240168;LN-18;GBM
1240169;LN-229;GBM
910694;LN-405;GBM
1240170;LNZTA3WT4;GBM
949094;M059J;GBM
908144;MOG-G-CCM;LGG
908145;MOG-G-UVW;LGG
908449;NMC-G1;LGG
908452;no-10;LGG
908450;no-11;LGG
909712;SF126;GBM
905986;SF268;GBM
905985;SF295;GBM
905984;SF539;LGG
909729;SK-MG-1;GBM
905982;SNB75;GBM
909745;SW1088;GBM
909750;SW1783;LGG
687586;T98G;GBM
687588;U-118-MG;GBM
905983;U251;GBM
687590;U-87-MG;GBM
909905;YH-13;GBM
687592;YKG-1;GBM
906834;D-283MED;MB
906833;Daoy;MB
909248;ONS-76;MB
683667;PFSK-1;MB
753616;BE2-M17;NB
910567;CHP-126;NB
910941;CHP-134;NB
906820;CHP-212;NB
906872;GI-ME-N;NB
906875;GOTO;NB
907170;IMR-5;NB
753618;KELLY;NB
907314;KP-N-YN;NB
949170;LAN-6;NB
908135;MHH-NB-11;NB
1240181;NB(TU)1-10;NB
949179;NB1;NB
949171;NB10;NB
949172;NB12;NB
949177;NB13;NB
949178;NB14;NB
949175;NB17;NB
949176;NB5;NB
949173;NB6;NB
908440;NB69;NB
949174;NB7;NB
908447;NH-12;NB
753620;SIMA;NB
724828;SK-N-AS;NB
688086;SK-N-DZ;NB
688087;SK-N-FI;NB
717431;SK-N-SH;NB
910780;TGW;NB
910702;AsPC-1;PAAD
906693;BxPC-3;PAAD
753624;CAPAN-1;PAAD
910915;Capan-2;PAAD
906821;CFPAC-1;PAAD
1290797;DAN-G;PAAD
1298136;HPAC;PAAD
724869;HPAF-II;PAAD
1298141;Hs766T;PAAD
907285;HuP-T3;PAAD
907286;HuP-T4;PAAD
1298216;KP-1N;PAAD
1298219;KP-3;UNABLE TO CLASSIFY
753572;KP-4;PAAD
724870;MIA-PaCa-2;PAAD
753595;MZ1-PC;PAAD
1298475;PANC-02-03;PAAD
925346;PANC-03-27;PAAD
1298476;PANC-04-03;PAAD
925347;PANC-08-13;PAAD
925348;PANC-10-05;PAAD
1298526;PA-TU-8902;PAAD
1240201;PA-TU-8988T;PAAD
1240208;PL18;PAAD
1298533;PL4;PAAD
910546;PSN1;PAAD
1298534;QGP-1;
1240218;SU8686;PAAD
1240219;SUIT-2;PAAD
910907;SW1990;PAAD
909904;YAPC;PAAD
1287706;451Lu;SKCM
910921;A101D;SKCM
906792;A2058;SKCM
906793;A375;SKCM
906830;C32;SKCM
910853;CHL-1;SKCM
906818;COLO-679;SKCM
906814;COLO-792;SKCM
906813;COLO-800;SKCM
687448;COLO-829;SKCM
753545;CP50-MEL-B;SKCM
753546;CP66-MEL;SKCM
906865;G-361;SKCM
910932;GAK;SKCM
1240130;G-MEL;SKCM
907058;HMV-II;SKCM
1298145;Hs940-T;SKCM
907067;HT-144;SKCM
907169;IGR-1;SKCM
1240153;IGR-37;SKCM
907171;IPC-298;SKCM
907172;IST-MEL1;SKCM
753579;LB2518-MEL;SKCM
753581;LB373-MEL-D;SKCM
905974;LOXIMVI;SKCM
905975;M14;SKCM
908124;MEL-HO;SKCM
908125;MEL-JUSO;SKCM
908128;Mewo;SKCM
925339;MMAC-SF;SKCM
971777;MZ2-MEL;SKCM
753596;MZ7-mel;SKCM
910903;RPMI-7951;SKCM
909706;RVH-421;SKCM
909713;SH-4;SKCM
909723;SK-MEL-1;SKCM
905955;SK-MEL-2;SKCM
909725;SK-MEL-24;SKCM
905954;SK-MEL-28;SKCM
909724;SK-MEL-3;SKCM
909726;SK-MEL-30;SKCM
909727;SK-MEL-31;SKCM
905956;SK-MEL-5;SKCM
905977;UACC-257;SKCM
905976;UACC-62;SKCM
909784;WM-115;SKCM
1299078;WM1552C;SKCM
1240226;WM278;SKCM
1299080;WM35;SKCM
1299081;WM793B;SKCM
910697;A388;
910925;A431;
906841;DJM-1;
907064;HT-1080;
909754;SW684;
910784;A204;
684052;A673;
1240166;KYM-1;
909264;RD;
971773;RH-1;
971774;RH-18;
1240210;RH-41;
909716;SJRH30;
924248;TE-441-T;
907298;G-402;
906999;GCT;
925343;MFH-ino;
909720;SK-LMS-1;
909732;SK-UT-1;
909756;SW872;
909759;SW982;
688121;VA-ES-BJ;
906795;8305C;THCA
924102;8505C;THCA
1290722;ASH-3;THCA
924104;BCPAP;THCA
906696;BHT-101;THCA
906828;CAL-62;THCA
910568;CGTH-W-1;THCA
906864;FTC-133;THCA
924151;HTC-C3;THCA
1240154;IHH-4;THCA
924238;K5;THCA
1240178;ML-1;THCA
930083;RO82-W-1;THCA
930299;TT;THCA
1240223;TT2609-C02;THCA
687452;5637;BLCA
906798;639-V;BLCA
906797;647-V;BLCA
910926;BFTC-905;BLCA
1290730;CAL-29;BLCA
753552;DSH1;BLCA
907065;HT-1197;BLCA
907066;HT-1376;BLCA
